Method, Class, ConverLine, ConverBranch, MutationScore, CodeLine
EvoSuite, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.87, 241
EvoSuite, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.87, 243
EvoSuite, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.87, 238
EvoSuite, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.94, 242
EvoSuite, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.87, 253
EvoSuite, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.87, 218
EvoSuite, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.74, 247
EvoSuite, math.genetics.ElitisticListPopulation, 0.91, 0.83, 0.87, 241
EvoSuite, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.87, 267
EvoSuite, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.93, 244
EvoSuite, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.93, 230
EvoSuite, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.87, 239
EvoSuite, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.87, 264
EvoSuite, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.87, 255
EvoSuite, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.93, 245
EvoSuite, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.93, 260
EvoSuite, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.93, 253
EvoSuite, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.93, 257
EvoSuite, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.87, 244
EvoSuite, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.87, 241
EvoSuite, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.87, 248
EvoSuite, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.87, 253
EvoSuite, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.87, 257
EvoSuite, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.87, 241
EvoSuite, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.87, 238
EvoSuite, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.87, 243
EvoSuite, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.87, 242
EvoSuite, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.67, 247
EvoSuite, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.93, 257
EvoSuite, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.74, 241
Averages, math.genetics.ElitisticListPopulation,1.0,0.99,0.87,246.3
