Method, Class, ConverLine, ConverBranch, MutationScore, CodeLine
EvoSuite, collections.iterators.FilterIterator, 0.96, 0.92, 0.69, 265
EvoSuite, collections.iterators.FilterIterator, 0.99, 0.92, 0.9, 256
EvoSuite, collections.iterators.FilterIterator, 0.94, 0.83, 0.8, 301
EvoSuite, collections.iterators.FilterIterator, 0.95, 0.83, 0.69, 289
EvoSuite, collections.iterators.FilterIterator, 1.0, 1.0, 0.69, 243
EvoSuite, collections.iterators.FilterIterator, 0.96, 0.92, 1.0, 249
EvoSuite, collections.iterators.FilterIterator, 0.93, 0.75, 1.0, 296
EvoSuite, collections.iterators.FilterIterator, 0.93, 0.67, 0.85, 294
EvoSuite, collections.iterators.FilterIterator, 0.99, 0.92, 0.59, 259
EvoSuite, collections.iterators.FilterIterator, 0.88, 0.67, 0.69, 250
EvoSuite, collections.iterators.FilterIterator, 0.99, 0.92, 1.0, 291
EvoSuite, collections.iterators.FilterIterator, 0.87, 0.67, 0.91, 244
EvoSuite, collections.iterators.FilterIterator, 0.96, 0.75, 0.85, 255
EvoSuite, collections.iterators.FilterIterator, 0.95, 0.83, 1.0, 268
EvoSuite, collections.iterators.FilterIterator, 0.96, 0.92, 0.79, 265
EvoSuite, collections.iterators.FilterIterator, 0.99, 0.92, 1.0, 303
EvoSuite, collections.iterators.FilterIterator, 0.96, 0.83, 0.89, 260
EvoSuite, collections.iterators.FilterIterator, 0.91, 0.75, 0.75, 283
EvoSuite, collections.iterators.FilterIterator, 0.88, 0.75, 0.69, 265
EvoSuite, collections.iterators.FilterIterator, 0.93, 0.67, 1.0, 285
EvoSuite, collections.iterators.FilterIterator, 0.7, 0.42, 1.0, 300
EvoSuite, collections.iterators.FilterIterator, 0.99, 0.92, 0.84, 232
EvoSuite, collections.iterators.FilterIterator, 0.95, 0.83, 0.9, 290
EvoSuite, collections.iterators.FilterIterator, 0.99, 0.92, 0.69, 306
EvoSuite, collections.iterators.FilterIterator, 0.7, 0.42, 0.84, 282
EvoSuite, collections.iterators.FilterIterator, 0.96, 0.92, 0.69, 252
EvoSuite, collections.iterators.FilterIterator, 0.89, 0.67, 0.69, 291
EvoSuite, collections.iterators.FilterIterator, 0.96, 0.92, 0.8, 313
EvoSuite, collections.iterators.FilterIterator, 0.96, 0.92, 0.94, 252
EvoSuite, collections.iterators.FilterIterator, 0.99, 0.83, 1.0, 270
Averages, collections.iterators.FilterIterator,0.93,0.81,0.84,273.63
