Method, Class, ConverLine, ConverBranch, MutationScore, CodeLine
EvoSuite, collections.comparators.FixedOrderComparator, 0.95, 0.97, 0.88, 336
EvoSuite, collections.comparators.FixedOrderComparator, 0.95, 0.97, 0.88, 349
EvoSuite, collections.comparators.FixedOrderComparator, 0.93, 0.97, 0.88, 343
EvoSuite, collections.comparators.FixedOrderComparator, 0.95, 0.97, 0.88, 349
EvoSuite, collections.comparators.FixedOrderComparator, 0.95, 0.97, 0.88, 335
EvoSuite, collections.comparators.FixedOrderComparator, 0.95, 0.97, 0.85, 357
EvoSuite, collections.comparators.FixedOrderComparator, 0.95, 0.97, 0.88, 343
EvoSuite, collections.comparators.FixedOrderComparator, 0.95, 0.97, 0.88, 354
EvoSuite, collections.comparators.FixedOrderComparator, 0.95, 0.97, 0.88, 354
EvoSuite, collections.comparators.FixedOrderComparator, 0.95, 0.97, 0.88, 393
EvoSuite, collections.comparators.FixedOrderComparator, 0.95, 0.97, 0.88, 360
EvoSuite, collections.comparators.FixedOrderComparator, 0.95, 0.97, 0.88, 346
EvoSuite, collections.comparators.FixedOrderComparator, 0.95, 0.97, 0.88, 345
EvoSuite, collections.comparators.FixedOrderComparator, 0.95, 0.97, 0.88, 356
EvoSuite, collections.comparators.FixedOrderComparator, 0.95, 0.97, 0.88, 338
EvoSuite, collections.comparators.FixedOrderComparator, 0.95, 0.97, 0.88, 340
EvoSuite, collections.comparators.FixedOrderComparator, 0.95, 0.97, 0.79, 335
EvoSuite, collections.comparators.FixedOrderComparator, 0.95, 0.97, 0.71, 372
EvoSuite, collections.comparators.FixedOrderComparator, 0.95, 0.97, 0.84, 335
EvoSuite, collections.comparators.FixedOrderComparator, 0.95, 0.97, 0.88, 342
EvoSuite, collections.comparators.FixedOrderComparator, 0.95, 0.97, 0.88, 340
EvoSuite, collections.comparators.FixedOrderComparator, 0.95, 0.97, 0.88, 367
EvoSuite, collections.comparators.FixedOrderComparator, 0.95, 0.97, 0.0, 340
EvoSuite, collections.comparators.FixedOrderComparator, 0.95, 0.97, 0.88, 331
EvoSuite, collections.comparators.FixedOrderComparator, 0.95, 0.97, 0.88, 366
EvoSuite, collections.comparators.FixedOrderComparator, 0.95, 0.97, 0.88, 345
EvoSuite, collections.comparators.FixedOrderComparator, 0.95, 0.97, 0.88, 336
EvoSuite, collections.comparators.FixedOrderComparator, 0.95, 0.97, 0.88, 316
EvoSuite, collections.comparators.FixedOrderComparator, 0.95, 0.97, 0.88, 343
EvoSuite, collections.comparators.FixedOrderComparator, 0.95, 0.97, 0.88, 326
Averages, collections.comparators.FixedOrderComparator,0.95,0.97,0.84,346.4
