Method, Class, ConverLine, ConverBranch, MutationScore, CodeLine
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 1.0, 350
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 1.0, 368
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 1.0, 349
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 1.0, 424
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 1.0, 412
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 0.91, 402
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 1.0, 373
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 1.0, 366
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 1.0, 426
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 1.0, 385
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 1.0, 399
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 1.0, 429
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 1.0, 394
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 1.0, 388
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 1.0, 365
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 1.0, 363
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 1.0, 375
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 0.91, 395
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 1.0, 367
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 1.0, 376
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 1.0, 396
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 1.0, 385
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 1.0, 404
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 1.0, 443
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 0.91, 406
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 1.0, 413
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 1.0, 417
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 1.0, 440
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 1.0, 399
EvoSuite, collections.map.PredicatedMap, 1.0, 1.0, 1.0, 411
Averages, collections.map.PredicatedMap,1.0,1.0,0.99,394.0
