Method, Class, ConverLine, ConverBranch, MutationScore, CodeLine
Randoop, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.74, 19133
Randoop, math.genetics.ElitisticListPopulation, 0.91, 0.83, 0.8, 16850
Randoop, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.74, 8286
Randoop, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.8, 19578
Randoop, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.8, 14333
Randoop, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.8, 14540
Randoop, math.genetics.ElitisticListPopulation, 0.91, 0.83, 0.74, 20683
Randoop, math.genetics.ElitisticListPopulation, 0.91, 0.83, 0.8, 26016
Randoop, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.74, 21231
Randoop, math.genetics.ElitisticListPopulation, 0.91, 0.83, 0.8, 17144
Randoop, math.genetics.ElitisticListPopulation, 0.91, 0.83, 0.8, 11760
Randoop, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.8, 11382
Randoop, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.8, 15451
Randoop, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.8, 13960
Randoop, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.74, 12703
Randoop, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.8, 16162
Randoop, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.8, 19462
Randoop, math.genetics.ElitisticListPopulation, 0.91, 0.83, 0.8, 13897
Randoop, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.8, 14785
Randoop, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.74, 16537
Randoop, math.genetics.ElitisticListPopulation, 0.91, 0.83, 0.8, 19432
Randoop, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.67, 20065
Randoop, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.8, 8899
Randoop, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.8, 14506
Randoop, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.67, 18406
Randoop, math.genetics.ElitisticListPopulation, 0.91, 0.83, 0.67, 11003
Randoop, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.8, 12972
Randoop, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.74, 21137
Randoop, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.8, 8778
Randoop, math.genetics.ElitisticListPopulation, 1.0, 1.0, 0.8, 12790
Averages, math.genetics.ElitisticListPopulation,0.98,0.95,0.77,15729.37
