Method, Class, ConverLine, ConverBranch, MutationScore, CodeLine
Randoop, collections.iterators.FilterIterator, 0.5, 0.08, 0.39, 10120
Randoop, collections.iterators.FilterIterator, 0.81, 0.5, 0.16, 11030
Randoop, collections.iterators.FilterIterator, 0.87, 0.58, 0.49, 4505
Randoop, collections.iterators.FilterIterator, 0.87, 0.67, 0.39, 10926
Randoop, collections.iterators.FilterIterator, 0.6, 0.25, 0.42, 9141
Randoop, collections.iterators.FilterIterator, 0.81, 0.5, 0.85, 10716
Randoop, collections.iterators.FilterIterator, 0.87, 0.58, 0.29, 12195
Randoop, collections.iterators.FilterIterator, 0.76, 0.33, 0.39, 11300
Randoop, collections.iterators.FilterIterator, 0.71, 0.25, 0.64, 11990
Randoop, collections.iterators.FilterIterator, 0.87, 0.58, 0.64, 6158
Randoop, collections.iterators.FilterIterator, 0.5, 0.08, 0.34, 19814
Randoop, collections.iterators.FilterIterator, 0.6, 0.25, 0.9, 7814
Randoop, collections.iterators.FilterIterator, 0.87, 0.58, 0.35, 16729
Randoop, collections.iterators.FilterIterator, 0.7, 0.42, 0.39, 12137
Randoop, collections.iterators.FilterIterator, 0.81, 0.5, 0.51, 3863
Randoop, collections.iterators.FilterIterator, 0.82, 0.5, 0.39, 13198
Randoop, collections.iterators.FilterIterator, 0.87, 0.58, 0.69, 10255
Randoop, collections.iterators.FilterIterator, 0.57, 0.17, 0.96, 8640
Randoop, collections.iterators.FilterIterator, 0.87, 0.67, 0.81, 9118
Randoop, collections.iterators.FilterIterator, 0.6, 0.25, 0.39, 16924
Randoop, collections.iterators.FilterIterator, 0.5, 0.08, 0.33, 6565
Randoop, collections.iterators.FilterIterator, 0.87, 0.58, 0.2, 5215
Randoop, collections.iterators.FilterIterator, 0.6, 0.25, 0.89, 5803
Randoop, collections.iterators.FilterIterator, 0.82, 0.5, 0.64, 12404
Randoop, collections.iterators.FilterIterator, 0.5, 0.08, 0.23, 3410
Randoop, collections.iterators.FilterIterator, 0.87, 0.58, 0.86, 14607
Randoop, collections.iterators.FilterIterator, 0.64, 0.33, 0.8, 6687
Randoop, collections.iterators.FilterIterator, 0.57, 0.17, 0.39, 6239
Randoop, collections.iterators.FilterIterator, 0.5, 0.08, 0.39, 12664
Randoop, collections.iterators.FilterIterator, 0.5, 0.08, 0.96, 16648
Averages, collections.iterators.FilterIterator,0.71,0.37,0.54,10227.17
