Method, Class, ConverLine, ConverBranch, MutationScore, CodeLine
Randoop, collections.comparators.FixedOrderComparator, 0.87, 0.78, 0.87, 24984
Randoop, collections.comparators.FixedOrderComparator, 0.88, 0.8, 0.82, 21036
Randoop, collections.comparators.FixedOrderComparator, 0.88, 0.8, 0.94, 25627
Randoop, collections.comparators.FixedOrderComparator, 0.89, 0.82, 0.87, 27428
Randoop, collections.comparators.FixedOrderComparator, 0.87, 0.82, 0.82, 31165
Randoop, collections.comparators.FixedOrderComparator, 0.86, 0.75, 0.82, 26318
Randoop, collections.comparators.FixedOrderComparator, 0.87, 0.82, 0.87, 36585
Randoop, collections.comparators.FixedOrderComparator, 0.86, 0.75, 0.78, 30867
Randoop, collections.comparators.FixedOrderComparator, 0.87, 0.8, 0.78, 26064
Randoop, collections.comparators.FixedOrderComparator, 0.87, 0.78, 0.91, 32801
Randoop, collections.comparators.FixedOrderComparator, 0.89, 0.88, 0.82, 56912
Randoop, collections.comparators.FixedOrderComparator, 0.88, 0.85, 0.82, 24226
Randoop, collections.comparators.FixedOrderComparator, 0.87, 0.8, 0.78, 25814
Randoop, collections.comparators.FixedOrderComparator, 0.86, 0.78, 0.9, 30283
Randoop, collections.comparators.FixedOrderComparator, 0.89, 0.82, 0.9, 23564
Randoop, collections.comparators.FixedOrderComparator, 0.87, 0.8, 0.78, 44269
Randoop, collections.comparators.FixedOrderComparator, 0.86, 0.78, 0.78, 29451
Randoop, collections.comparators.FixedOrderComparator, 0.89, 0.88, 0.78, 49196
Randoop, collections.comparators.FixedOrderComparator, 0.86, 0.75, 0.78, 36288
Randoop, collections.comparators.FixedOrderComparator, 0.89, 0.88, 0.82, 19089
Randoop, collections.comparators.FixedOrderComparator, 0.86, 0.75, 0.78, 36342
Randoop, collections.comparators.FixedOrderComparator, 0.86, 0.75, 0.87, 39023
Randoop, collections.comparators.FixedOrderComparator, 0.87, 0.78, 0.82, 28117
Randoop, collections.comparators.FixedOrderComparator, 0.87, 0.8, 0.74, 24933
Randoop, collections.comparators.FixedOrderComparator, 0.9, 0.9, 0.78, 20709
Randoop, collections.comparators.FixedOrderComparator, 0.86, 0.78, 0.9, 33711
Randoop, collections.comparators.FixedOrderComparator, 0.85, 0.7, 0.82, 26620
Randoop, collections.comparators.FixedOrderComparator, 0.9, 0.88, 0.87, 20204
Randoop, collections.comparators.FixedOrderComparator, 0.88, 0.82, 0.78, 31142
Randoop, collections.comparators.FixedOrderComparator, 0.88, 0.8, 0.9, 27194
Averages, collections.comparators.FixedOrderComparator,0.87,0.8,0.83,30332.07
