Method, Class, ConverLine, ConverBranch, MutationScore, CodeLine
Randoop, collections.map.PredicatedMap, 0.25, 0.13, 0.07, 11472
Randoop, collections.map.PredicatedMap, 0.58, 0.44, 0.23, 3654
Randoop, collections.map.PredicatedMap, 0.51, 0.5, 0.17, 3772
Randoop, collections.map.PredicatedMap, 0.25, 0.13, 0.26, 9492
Randoop, collections.map.PredicatedMap, 0.46, 0.38, 0.07, 9342
Randoop, collections.map.PredicatedMap, 0.25, 0.13, 0.32, 6413
Randoop, collections.map.PredicatedMap, 0.46, 0.38, 0.16, 8062
Randoop, collections.map.PredicatedMap, 0.51, 0.5, 0.17, 14633
Randoop, collections.map.PredicatedMap, 0.5, 0.44, 0.07, 4536
Randoop, collections.map.PredicatedMap, 0.33, 0.19, 0.16, 11015
Randoop, collections.map.PredicatedMap, 0.28, 0.13, 0.07, 6287
Randoop, collections.map.PredicatedMap, 0.46, 0.38, 0.07, 13858
Randoop, collections.map.PredicatedMap, 0.5, 0.44, 0.07, 15259
Randoop, collections.map.PredicatedMap, 0.46, 0.38, 0.27, 12636
Randoop, collections.map.PredicatedMap, 0.46, 0.38, 0.27, 10630
Randoop, collections.map.PredicatedMap, 0.58, 0.44, 0.07, 8600
Randoop, collections.map.PredicatedMap, 0.5, 0.44, 0.17, 11071
Randoop, collections.map.PredicatedMap, 0.46, 0.44, 0.07, 6809
Randoop, collections.map.PredicatedMap, 0.46, 0.44, 0.07, 9073
Randoop, collections.map.PredicatedMap, 0.5, 0.44, 0.26, 8178
Randoop, collections.map.PredicatedMap, 0.35, 0.25, 0.17, 9276
Randoop, collections.map.PredicatedMap, 0.46, 0.38, 0.07, 8158
Randoop, collections.map.PredicatedMap, 0.47, 0.44, 0.07, 8293
Randoop, collections.map.PredicatedMap, 0.2, 0.06, 0.07, 5352
Randoop, collections.map.PredicatedMap, 0.25, 0.13, 0.26, 6536
Randoop, collections.map.PredicatedMap, 0.5, 0.44, 0.17, 5172
Randoop, collections.map.PredicatedMap, 0.5, 0.44, 0.34, 12064
Randoop, collections.map.PredicatedMap, 0.2, 0.06, 0.07, 17677
Randoop, collections.map.PredicatedMap, 0.51, 0.5, 0.16, 5121
Randoop, collections.map.PredicatedMap, 0.46, 0.38, 0.07, 12588
Averages, collections.map.PredicatedMap,0.42,0.34,0.15,9167.63
